Episode,Result,Duration,BossPool,P1Pool,P2Pool,BossDmgDealt,PlayerDmgDealt,BossHpLeft,P1HpLeft,P2HpLeft,BossHits,P1Hits,P2Hits
665,BossLose,60.9,BossTankSustain,PlayerTrainingSkillPool,PlayerMeleeBurst,74,2500,0.00,0.63,1.00,0,8,7
666,BossWin,71.2,BossMeleeAggro,PlayerTrainingSkillPool,PlayerHybridSurvivor,400,949,0.62,0.00,0.00,4,3,4
667,BossWin,48.1,BossMeleeAggro,PlayerHybridSurvivor,PlayerHybridSurvivor,400,669,0.73,0.00,0.00,5,3,4
668,BossLose,90.0,BossRangedZoner,PlayerHybridSurvivor,PlayerMeleeBurst,200,1854,0.26,0.00,1.00,8,0,12
669,BossLose,90.0,BossTankSustain,PlayerCCDebuffer,PlayerHybridSurvivor,200,1867,0.25,0.00,1.00,2,11,5
670,BossLose,90.0,BossRangedZoner,PlayerMeleeBurst,PlayerTrainingSkillPool,268,1658,0.34,0.00,0.66,8,6,16
671,BossLose,48.9,BossTankSustain,PlayerMeleeBurst,PlayerCCDebuffer,91,2500,0.00,0.55,1.00,0,12,9
672,BossWin,76.8,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,400,1775,0.29,0.00,0.00,4,5,6
673,BossWin,24.7,BossMeleeAggro,PlayerCCDebuffer,PlayerMeleeBurst,400,736,0.71,0.00,0.00,4,1,4
674,BossLose,90.0,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,173,2466,0.01,0.14,1.00,0,15,4
675,BossLose,81.6,BossTankSustain,PlayerCCDebuffer,PlayerMeleeBurst,99,2500,0.00,0.50,1.00,0,17,7
676,BossLose,90.0,BossRangedZoner,PlayerCCDebuffer,PlayerCCDebuffer,315,1351,0.46,0.00,0.42,4,6,17
677,BossLose,50.8,BossRangedZoner,PlayerTrainingSkillPool,PlayerHybridSurvivor,159,2500,0.00,0.30,0.90,3,12,3
678,BossLose,90.0,BossTankSustain,PlayerTrainingSkillPool,PlayerTrainingSkillPool,207,2159,0.14,0.00,0.96,4,10,7
679,BossLose,90.0,BossMeleeAggro,PlayerCCDebuffer,PlayerMeleeBurst,293,2058,0.18,0.00,0.54,6,9,9
680,BossLose,70.0,BossTankSustain,PlayerHybridSurvivor,PlayerCCDebuffer,259,2500,0.00,0.53,0.18,1,12,6
681,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerMeleeBurst,228,2436,0.03,0.00,0.86,4,6,10
